qvLvLLAAAQQkeikhjmnkmnolompppgaiwwvaorhlfpodgk_1222211010001202 F0 1 G 2 N 1 [2] [8,2,6] Z []
qvLvLLLMQQQkchkjmnopjmplpnnoowauwcxltrfhotelqd_2011022022011101 F0 1 G 1 N 1 [2] [10,5,1] Z []
qvLvLLQQLMQkeikklihijonmpnoppgaiggggggaaoattkk_1222211010001221 F1 1 G 1 N 1 [2] [8,4,4] Z []
qvLvPwvPQQQkejihhinnlkmomopppfaaabbeeffllllfff_2011022222111010 F0 1 G 1 N 1 [2] [6,9,1] Z []
qvvLAAzwQMQkgfhiikjnmokmonpppmmattwoamakxqqwrr_1020212202112002 F0 1 G 1 N 1 [2] [10,0,6] Z ['K13n241']
qvvLALLAMQQkgfifmlkimonlnopppeemebbjbghhshhhgb_1202000111011222 F0 1 G 1 N 1 [2] [8,4,4] Z []
qvvLALLMMQQkfhgfmilnpolonpnopaualsovalxcuiihii_1020211101110201 F0 1 G 1 N 1 [2] [12,4,0] Z ['K12n660']
qvvLALLPAQQkfgggknkompmoppnonaaaawawabaceaapap_0111120220022011 F0 1 G 1 N 1 [2] [8,4,4] Z []
qvvLALLQMMQkhfihkinkjmlpooppoaamawgawcccammawv_0221111010022021 F1 1 G 1 N 1 [2] [12,2,2] Z []
qvvLALPLAQQkgfffmlkjmonpmonppeeaebbsgchhdbhabg_1202000111011222 F0 1 G 1 N 1 [2] [6,5,5] Z []
qvvLALvQAQQkghifjolnnnmolmpppddmlfavhaljajbmas_2000022221212100 F0 1 G 1 N 1 [2] [10,2,4] Z []
qvvLAPwLQAQkfggjgkknlolmponppaaaaaawaaeppwfbww_0111120220011101 F0 1 G 1 N 1 [2] [6,5,5] Z []
qvvLAvLQQMQkfhimojnkjomlnopppttmjmjvjjabsbeddd_2011021100011211 F0 1 G 1 N 1 [2] [12,1,3] Z []
qvvLLLLMQQQkfihnokjlpokmnpnpoqepwtokomqjnkqbxx_1020212211211020 F0 1 G 1 N 1 [2] [10,2,4] Z []
qvvLLLPLQQQkgijkmnloknooppmnphaagnnbabchahabbe_1202011111001122 F1 1 G 1 N 1 [2] [8,6,2] Z []
